data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_addizionale_booster,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-11-01,Janssen,ABR,30-39,1,0,1,0,0,0,ITF,ITF1,13,Abruzzo
2021-11-01,Janssen,EMR,60-69,1,0,1,0,0,0,ITH,ITH5,8,Emilia-Romagna
2021-11-01,Janssen,LAZ,12-19,0,1,1,0,0,0,ITI,ITI4,12,Lazio
2021-11-01,Janssen,LAZ,20-29,1,1,2,0,0,0,ITI,ITI4,12,Lazio
2021-11-01,Janssen,LAZ,30-39,4,0,4,0,0,0,ITI,ITI4,12,Lazio
2021-11-01,Janssen,LAZ,40-49,2,5,7,0,0,0,ITI,ITI4,12,Lazio
2021-11-01,Janssen,LAZ,50-59,4,3,7,0,0,0,ITI,ITI4,12,Lazio
2021-11-01,Janssen,LAZ,60-69,1,0,1,0,0,0,ITI,ITI4,12,Lazio
2021-11-01,Moderna,ABR,12-19,6,7,7,6,0,0,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,ABR,20-29,7,4,2,9,0,0,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,ABR,30-39,11,11,3,19,0,0,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,ABR,40-49,12,11,3,19,0,1,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,ABR,50-59,10,5,1,14,0,0,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,ABR,60-69,6,5,3,4,0,4,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,ABR,70-79,10,7,1,0,0,16,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,ABR,80-89,3,4,0,0,0,7,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,ABR,90+,1,2,0,0,0,3,ITF,ITF1,13,Abruzzo
2021-11-01,Moderna,BAS,12-19,1,2,0,3,0,0,ITF,ITF5,17,Basilicata
2021-11-01,Moderna,BAS,20-29,2,1,0,3,0,0,ITF,ITF5,17,Basilicata
2021-11-01,Moderna,BAS,30-39,8,2,1,9,0,0,ITF,ITF5,17,Basilicata
2021-11-01,Moderna,BAS,40-49,5,3,3,5,0,0,ITF,ITF5,17,Basilicata
2021-11-01,Moderna,BAS,50-59,1,4,1,4,0,0,ITF,ITF5,17,Basilicata
2021-11-01,Moderna,BAS,60-69,2,1,0,2,0,1,ITF,ITF5,17,Basilicata
2021-11-01,Moderna,BAS,70-79,1,0,0,1,0,0,ITF,ITF5,17,Basilicata
2021-11-01,Moderna,BAS,80-89,2,0,0,0,0,2,ITF,ITF5,17,Basilicata
2021-11-01,Moderna,CAL,12-19,0,1,0,1,0,0,ITF,ITF6,18,Calabria
2021-11-01,Moderna,CAL,20-29,9,2,4,7,0,0,ITF,ITF6,18,Calabria
2021-11-01,Moderna,CAL,30-39,3,3,4,2,0,0,ITF,ITF6,18,Calabria
2021-11-01,Moderna,CAL,40-49,6,2,1,7,0,0,ITF,ITF6,18,Calabria
2021-11-01,Moderna,CAL,50-59,2,1,1,2,0,0,ITF,ITF6,18,Calabria
2021-11-01,Moderna,CAL,60-69,4,1,3,2,0,0,ITF,ITF6,18,Calabria
2021-11-01,Moderna,CAL,70-79,1,1,0,0,0,2,ITF,ITF6,18,Calabria
2021-11-01,Moderna,CAL,80-89,0,1,0,0,0,1,ITF,ITF6,18,Calabria
2021-11-01,Moderna,CAM,12-19,38,26,13,49,2,0,ITF,ITF3,15,Campania
2021-11-01,Moderna,CAM,20-29,73,46,20,97,1,1,ITF,ITF3,15,Campania
2021-11-01,Moderna,CAM,30-39,65,39,15,87,0,2,ITF,ITF3,15,Campania
2021-11-01,Moderna,CAM,40-49,47,27,14,57,1,2,ITF,ITF3,15,Campania
2021-11-01,Moderna,CAM,50-59,37,23,10,45,1,4,ITF,ITF3,15,Campania
