data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_addizionale_booster,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-09-01,Janssen,ABR,30-39,1,0,1,0,0,0,ITF,ITF1,13,Abruzzo
2021-09-01,Janssen,ABR,40-49,2,4,6,0,0,0,ITF,ITF1,13,Abruzzo
2021-09-01,Janssen,ABR,50-59,1,0,1,0,0,0,ITF,ITF1,13,Abruzzo
2021-09-01,Janssen,ABR,60-69,3,5,8,0,0,0,ITF,ITF1,13,Abruzzo
2021-09-01,Janssen,ABR,70-79,2,3,5,0,0,0,ITF,ITF1,13,Abruzzo
2021-09-01,Janssen,ABR,80-89,0,1,1,0,0,0,ITF,ITF1,13,Abruzzo
2021-09-01,Janssen,BAS,20-29,3,1,4,0,0,0,ITF,ITF5,17,Basilicata
2021-09-01,Janssen,BAS,30-39,3,0,3,0,0,0,ITF,ITF5,17,Basilicata
2021-09-01,Janssen,BAS,40-49,0,1,1,0,0,0,ITF,ITF5,17,Basilicata
2021-09-01,Janssen,BAS,50-59,3,0,3,0,0,0,ITF,ITF5,17,Basilicata
2021-09-01,Janssen,BAS,70-79,1,0,1,0,0,0,ITF,ITF5,17,Basilicata
2021-09-01,Janssen,CAL,20-29,3,1,4,0,0,0,ITF,ITF6,18,Calabria
2021-09-01,Janssen,CAL,30-39,3,0,3,0,0,0,ITF,ITF6,18,Calabria
2021-09-01,Janssen,CAL,40-49,2,1,3,0,0,0,ITF,ITF6,18,Calabria
2021-09-01,Janssen,CAL,50-59,4,1,5,0,0,0,ITF,ITF6,18,Calabria
2021-09-01,Janssen,CAL,60-69,1,3,4,0,0,0,ITF,ITF6,18,Calabria
2021-09-01,Janssen,CAL,70-79,1,0,1,0,0,0,ITF,ITF6,18,Calabria
2021-09-01,Janssen,CAM,12-19,2,0,2,0,0,0,ITF,ITF3,15,Campania
2021-09-01,Janssen,CAM,20-29,40,5,45,0,0,0,ITF,ITF3,15,Campania
2021-09-01,Janssen,CAM,30-39,47,8,55,0,0,0,ITF,ITF3,15,Campania
2021-09-01,Janssen,CAM,40-49,16,11,27,0,0,0,ITF,ITF3,15,Campania
2021-09-01,Janssen,CAM,50-59,11,11,22,0,0,0,ITF,ITF3,15,Campania
2021-09-01,Janssen,CAM,60-69,2,2,4,0,0,0,ITF,ITF3,15,Campania
2021-09-01,Janssen,CAM,70-79,1,1,2,0,0,0,ITF,ITF3,15,Campania
